id,name,latitude,longitude,website
322520693,Ballinacourty Point Lighthouse,52.0781281,-7.5529837,
322520694,Inishtearaght Lighthouse,52.0756543,-10.6612176,
322520699,Fanad Head Lighthouse,55.2762031,-7.6319899,
322520700,Copper Point Lighthouse,51.5041152,-9.5342274,
322520701,Kilcredaun Head Lighthouse,52.58015,-9.710217,
322520702,Lower Rosses Lighthouse,54.3286203,-8.5726802,
322520703,Crookhaven Lighthouse,51.47655,-9.70455,
322520707,Dundalk Lighthouse,53.976,-6.295233,
322520708,Angus Rock Lighthouse,54.3305828,-5.5253315,
322520710,Dunmore East Lighthouse,52.1488247,-6.9894176,
322520713,Achillbeg Lighthouse,53.858145,-9.9472797,
322520714,Cashla Bay Dir. Light,53.2639,-9.566367,
322520715,Little Samphire Island Lighthouse,52.2708475,-9.8817151,
322520717,Teach Solais Inis Oírr,53.0462724,-9.5262932,
322520718,Ballycotton Lighthouse,51.8256104,-7.9842263,
322520722,Fastnet Lighthouse,51.3891918,-9.6028899,
322520727,Mionn Ard,51.9928567,-7.5864951,
322520728,Donaghadee Lighthouse,54.6450474,-5.530921,
322520730,Rue Point Lighthouse,55.2588406,-6.1912487,
322767085,Farol da Fortaleza de Santa Cruz,-22.9379526,-43.1343108,
323068109,,11.3432326,124.1112115,
323150651,Phare des Mamelles,14.7237837,-17.5018488,
323609232,Ormoc Lighthouse,11.0031258,124.6101318,
324508456,Rauðinúpur,66.5084645,-16.5429516,
324559793,Faro di Capo Ferrato,39.2993359,9.6335565,
327319341,El morro,11.2503348,-74.2303223,
330968733,Dungeness Old Lighthouse,50.9137445,0.9697067,
330968736,Dungeness Lighthouse,50.9134441,0.97594,
331368444,Burnham-on-Sea Low Lighthouse,51.248404,-3.005913,
332134451,Herd Groyne Lighthouse,55.0079851,-1.4240442,
332711664,,54.3170127,13.0987655,
332745817,,54.318633,13.0980829,
334328297,,28.1096673,-14.4908266,
335708225,Eggegrunds fyr,60.7288111,17.5572082,
339261891,Leuchtfeuer Otterndorf/ Belum,53.8260027,8.9011295,https://www.leuchtturm-atlas.de/HTML/OtternT.html
339664362,Dovercourt High Lighthouse,51.9304382,1.2753765,
339664364,Dovercourt Low Lighthouse,51.9301163,1.2781423,
340022906,Harmajan majakka,60.1050056,24.9755802,
340384841,Oberfeuer Belum,53.8347438,8.9558143,https://www.leuchtturm-atlas.de/HTML/Belum_T.html
340385005,Radar WSD,53.8267669,8.9574876,
340478960,,48.1713244,16.9813165,
342240702,Berwick Lighthouse,55.7647778,-1.9841667,
343079270,,44.7069038,37.4555068,
344559082,South Breakwater Light,43.2241122,-86.3469566,
344560064,South Pierhead Light,43.2266717,-86.34133,
345518542,Faro Cabo Espíritu Santo,-52.6589607,-68.6068965,
345518842,Faro Punta Delgada,-52.4558419,-69.5448795,
345519969,Faro Isla Magdalena,-52.918996,-70.5755887,
345841515,Farol de Salinópolis,-0.6157057,-47.3567848,
348069056,Môle Ouest Léchiagat,47.7908359,-4.2861591,
348069074,Môle Sud (Tribord),47.7908779,-4.2847793,
348098427,Sassnitz Westmolenfeuer / Unterfeuer,54.5082396,13.6366243,
348302658,Faro de San Telmo,36.8284531,-2.4923186,
348522765,Feu Antérieur,47.7905972,-4.2846445,
350509083,Beachy Head Lighthouse,50.7337669,0.2414829,
352842146,Phare de Taguermess,33.8227966,11.042774,
353234476,Far del Cap de Sant Antoni,38.8031536,0.197264,
353352238,Leuchtturm Büsum,54.1268185,8.8582651,
353581493,,53.3423634,-3.8689267,
353954167,Cabo Prior,43.5676461,-8.3145437,
353958266,,43.3106961,13.7282517,
353978514,New Lighthouse,12.615361,80.191784,
355722885,Leuchtturm Barßel,53.1688162,7.7349739,
357284280,Marsh Island Light,46.214116,-123.6199831,
358260354,Padanaram Breakwater,41.5741231,-70.9392719,
358356239,Blockhusudden,59.3207673,18.1549076,
358940376,Siilinkarin Majakka,61.5175688,23.7539174,
360831664,Зуйково,52.5626702,156.3086844,
364101774,Faro de Punta Frouxeira,43.6180679,-8.1883646,
364573830,Table Cape Lighthouse,-40.9465316,145.7291353,
365040912,Far del Cap de Creus,42.3189131,3.3159172,
365467022,Peez,54.1608037,12.1604333,
366205503,Leuchtfeuer Buk,54.1318994,11.6937179,http://leuchtturm-bastorf.de
366321719,Far del Fangar,40.7904485,0.7684275,
366588870,St. Catherine's Lighthouse,50.5756153,-1.2978382,
367136352,Morgan Point Lighthouse,41.3163072,-71.9871809,
367309384,Leith West Breakwater Lighthouse,55.9891854,-3.1846765,
367452464,,66.0762821,-18.6489379,
367452790,,66.0765851,-18.6472571,
367794388,Eagle Island Light,44.2176546,-68.7677902,
367794389,Egg Rock Light Station,44.3542469,-68.1380649,
367795272,Goat Island Light Station,43.3575865,-70.4256058,
367795273,Lubec Channel Light Station,44.8417467,-66.9791452,
367795292,Bear Island Light Station,44.2834261,-68.2699054,
367795294,Deer Island Thorofare Light Station,44.134369,-68.7032531,
367795300,Burnt Coat Harbor Lighthouse,44.1344915,-68.4476379,
368062706,Fire Island Lighthouse Visitors Center,40.6324499,-73.2185823,
368062710,Westfield Electric Light Station,42.3286111,-79.5794444,
368174433,Memorial Lighthouse,41.0572606,-124.1486894,
368385584,সেন্ট মার্টিন দ্বীপ বাতিঘর,20.632719,92.3200517,
368391877,Diamond Head Lighthouse,21.2556924,-157.809503,https://www.pacificarea.uscg.mil/Organizations/District-14/
369740843,Môle Est (tribord),47.7940396,-4.3497645,
370696150,,50.0646714,1.3690166,
370948544,,57.3537217,-5.8564102,
373113881,Leuchtturm Kalkgrund,54.8246118,9.8880016,
374141240,Quoin Light,-34.7806055,19.6395676,
377696419,Kärrholm 's fyr / majakka,60.2008588,22.1368133,
385027415,,43.3928453,-79.7057974,
387102136,,-24.1148421,152.7118443,
387744952,,33.9542667,134.6990296,
388215533,Taigh-solais Eilean Glas,57.8568937,-6.6419659,https://www.nlb.org.uk/lighthouses/eilean-glas/
388517872,Punta Candieira,43.7108327,-8.0470945,
390379091,Oberfeuer Tinsdal,53.566011,9.7401047,
390486744,"The Lighthouse, Roker Cliff Park",54.9311958,-1.3661364,
390728471,Torre del Cabo de Huertas,38.3529835,-0.404856,
391546836,Farol das Rocas,-3.8558808,-33.8174944,
393013063,,45.4711296,10.5431763,
393422517,Glückstadt Unterfeuer,53.8051302,9.4042609,
394039333,Kjeungskjæret fyr,63.7267984,9.5310006,
399909338,,34.2799352,132.7558962,
400699453,Santa Cruz West Breakwater Light,36.9607033,-122.002185,
401630316,,34.2809627,135.0004547,
402350938,若狭高浜島堤燈台,35.4967835,135.5503272,
402519377,,40.6013003,-74.1084973,
403871706,Mutton Island Lighthouse,53.254061,-9.0535366,
405862305,,36.8198703,-2.444132,
408909566,Diaz Point,-26.6364837,15.0929265,
409765393,Faro di Capo Spartivento,38.8777534,8.8453319,
409822882,,60.2006655,22.1581122,
410335840,Heidkate-Warnfeuer,54.4340523,10.3169262,
410699630,Faro de Llanes,43.4201408,-4.7480979,
410871527,Coquille River Lighthouse,43.1239007,-124.4242348,https://lighthousefriends.com/light.asp?ID=127
411613101,Fort Wadsworth Light,40.6058119,-74.0539435,
411711267,St. Abbs Lighthouse,55.9162155,-2.1387843,
411861307,New Dorp Light,40.5807873,-74.1201209,
411871155,Princes Bay Light,40.5076781,-74.213388,
414678633,Latarnia morska Darłowo,54.4403358,16.3785579,
416063852,Penedos de São Pedro e São Paulo,0.9168696,-29.345932,
417972894,,43.5346838,4.1322543,
417972902,,43.5351922,4.1318141,
